PrimaryKey#program#FK_sdnEntry
1#CUBA#1
2#CUBA#2
3#CUBA#3
4#CUBA#4
5#CUBA#5
6#CUBA#6
7#CUBA#7
8#CUBA#8
9#CUBA#9
10#CUBA#10
11#CUBA#11
12#CUBA#12
13#CUBA#13
14#CUBA#14
15#CUBA#15
16#CUBA#16
17#CUBA#17
18#CUBA#18
19#CUBA#19
20#CUBA#20
21#CUBA#21
22#CUBA#22
23#CUBA#23
24#CUBA#24
25#CUBA#25
26#CUBA#26
27#CUBA#27
28#CUBA#28
29#CUBA#29
30#CUBA#30
31#CUBA#31
32#CUBA#32
33#CUBA#33
34#CUBA#34
35#CUBA#35
36#CUBA#36
37#CUBA#37
38#CUBA#38
39#CUBA#39
40#CUBA#40
41#CUBA#41
42#CUBA#42
43#CUBA#43
44#CUBA#44
45#CUBA#45
46#CUBA#46
47#CUBA#47
48#CUBA#48
49#CUBA#49
50#CUBA#50
51#CUBA#51
52#CUBA#52
53#CUBA#53
54#SDGT#54
55#SDGT#55
56#SDGT#56
57#SDGT#57
58#SDGT#58
59#SDGT#59
60#SDGT#60
61#SDGT#61
62#SDGT#62
63#SDGT#63
64##64
65#SDGT#65
66#SDGT#66
67#IRAQ2#67
68#CUBA#68
69#CUBA#69
70#CUBA#70
71#CUBA#71
72#SDGT#72
73#SDNT#73
74#SDNT#74
75#CUBA#75
76#CUBA#76
77#CUBA#77
78#SDGT#78
79##79
80##80
81##81
82##82
83##83
84##84
85#SDGT#85
86##86
87##87
88##88
89##89
90##90
91##91
92##92
93##93
94##94
95##95
96##96
97##97
98##98
99##99
100##100
101#SDGT#101
102##102
103#SDGT#103
104#SDNT#104
105#SDNT#105
106#SDNT#106
107#SDNT#107
108#SDNT#108
109#SDNT#109
110#SDNT#110
111#SDNT#111
112#SDNT#112
113#SDNT#113
114#SDNT#114
115#SDNT#115
116#SDNT#116
117#SDNT#117
118#SDNT#118
119#SDNT#119
120#SDGT#120
121##121
122#SDGT#122
123#SDGT#123
124#SDNT#124
125#SDNT#125
126#SDNT#126
127#SDNT#127
128#SDNT#128
129#SDNT#129
