PrimaryKey#uid#placeOfBirth#mainEntry#FK_placeOfBirthList
1#1002#Egypt#true#1
2#1004#Giza, Egypt#true#2
3#1005#Nahia, Giza, Egypt#true#3
4#1008#Najf Al Ashraf (Najaf), Iraq#true#4
5#1011#Egypt#true#5
6#1013#Ramleh, Israel#true#6
7#1017#Al Nasiria, Palestine#true#7
8#1019#Al Basuriyah, Lebanon#true#8
9#1025#Biqa Valley, Lebanon#true#9
10#1027#al-Jawrah, al-Majdal District, Gaza#true#10
11#1030#Gaza, Egypt#true#11
12#1062#Gaza City, Gaza Strip#true#12
13#1121#Jeddah, Saudi Arabia#true#13
14#1122#Yemen#false#13
15#1125#Alexandria, Egypt#true#14
16#1129#Egypt#true#15
17#1135#Hotak, Kandahar Province, Afghanistan#true#16
18#1143#Mexico#true#17
19#1147#Mexico#true#18
20#1151#Mexico#true#19
21#1153#Mexico#true#20
22#1157#Mexico#true#21
23#1159#Burma#true#22
24#1163#St Kitts and Nevis#true#23
25#1167#Nigeria#true#24
26#1169#Nigeria#true#25
27#1173#Mexico#true#26
28#1177#Cartago, Valle, Colombia#true#27
29#1180#Cartago, Valle Colombia#true#28
30#1185#Mexico#true#29
31#1187#Pakistan#true#30
32#1190#Mexico#true#31
33#1192#Mexico#true#32
34#1194#Burma#true#33
35#1196#Israel#true#34
36#1198#Mexico#true#35
37#1201#Mexico#true#36
38#1203#Pakistan#true#37
39#1205#Mexico#true#38
40#1208#Egypt#true#39
41#39680#Mauritania#true#40
42#1212#Riyadh, Saudi Arabia#true#41
43#43322#Mosul, Iraq#true#42
44#1214#Egypt#true#43
45#1216#Alexandria, Egypt#true#44
46#1218#Egypt#true#45
47#1221#Egypt#true#46
48#1228#Qatif-Bab al Shamal, Saudi Arabia#true#47
49#1230#Al Ihsa, Saudi Arabia#true#48
50#1233#Tarut, Saudi Arabia#true#49
51#1236#Lebanon#true#50
52#1242#El Dibabiya, Saudi Arabia#true#51
53#1246#Cairo, Egypt#true#52
54#1250#Zanzibar, Tanzania#true#53
55#1256#Lebanon#true#54
56#1259#Moroni, Comoros Islands#true#55
57#1265#Kuwait#true#56
58#1276#Bloomington, Indiana USA#true#57
59#39892#Medina, Saudi Arabia#true#58
60#1279#Nangahar Province, Afghanistan#true#59
61#5423#Al-Mukalla, Yemen#true#60
62#1284#Al-Medinah, Saudi Arabia#true#61
63#1287#Safais (Sfax), Tunisia#true#62
64#1289#Aleppo, Syria#true#63
65#1291#California, USA#true#64
66#14840#Bethlehem, West Bank, Palestinian Territories#true#65
67#23775#Rouiba, Algiers, Algeria#true#66
68#1324#Santa Agueda,Baja California Sur,Mexico#true#67
69#5035#Tijuana, Baja California, Mexico#true#68
70#1330#Guadalajara, Jalisco#true#69
71#1333#Culiacan, Sinaloa, Mexico#true#70
72#1335#Baja California Norte, Mexico#true#71
73#1339#Vicente Guerrero, Durango#true#72
74#1341#Distrito Federal, Mexico#true#73
75#1343#Coahuila, Mexico#true#74
76#1348#Guadalajara, Jalisco, Mexico#true#75
77#1350#Guernica, Vizcaya Province, Spain#true#76
78#1352#Durango, Vizcaya Province, Spain#true#77
79#1354#Portugalete, Vizcaya Province, Spain#true#78
80#1356#San Sebastian, Guizpucoa Province, Spain#true#79
81#1358#Regil, Guipuzcoa Province, Spain#true#80
82#1360#Vergara, Guipuzcoa Province, Spain#true#81
83#1362#Baracaldo, Vizcaya Province, Spain#true#82
84#1364#Guernica, Vizacaya Province, Spain#true#83
85#1366#Vergara, Guipuzcoa Province, Spain#true#84
86#1368#Escoriaza, Guipuzcoa Province, Spain#true#85
87#1370#San Sebastian, Guipuzcoa Province, Spain#true#86
88#1372#San Sebastian, Guipuzcoa Province, Spain#true#87
89#1374#Segura, Guipuzcoa Province, Spain#true#88
90#1376#Pamplona, Navarra Province, Spain#true#89
91#1378#San Sebastian, Guipuzcoa Province, Spain#true#90
92#1380#Basauri, Vizcaya Province, Spain#true#91
93#1382#Itsasondo, Guipuzcoa Province, Spain#true#92
94#1384#San Sebastian, Guipuzcoa Province, Spain#true#93
95#1386#San Sebastian, Guipuzcoa Province, Spain#true#94
96#1388#Ondarroa, Vizcaya Province, Spain#true#95
97#1390#Irun, Guipuzcoa Province, Spain#true#96
98#1394#Tunisia#true#97
99#1396#Libya#true#98
100#4965#Tripoli#false#98
101#1398#Tunisia#true#99
102#1402#Egypt#true#100
103#1404#Tunisia#true#101
104#5406#Kuwait#true#102
105#1408#Beasain, Guipuzcoa Province, Spain#true#103
106#1410#Eibar Guipuzcoa Province, Spain#true#104
107#1412#Bilbao Vizcaya Province, Spain#true#105
108#1414#Baracaldo Vizcaya Province, Spain#true#106
109#1416#Bilbao Vizcaya Province, Spain#true#107
110#1418#Bilbao Vizcaya Province, Spain#true#108
111#1420#Getxo Vizcaya Province, Spain#true#109
112#1422#Rio de Janeiro#true#110
113#1424#Jalisco Mexico#true#111
114#1427#Pakistan#true#112
115#1429#Bahamas#true#113
116#1431#Israel#true#114
117#45512#Sinaloa, Mexico#true#115
118#1441#Llocos Sur Northern Luzon, Philippines#true#116
119#1443#Tunis, Tunisia#true#117
120#1445#Tunis, Tunisia#true#118
121#1447#Safi, Morocco#true#119
122#4404#Al-Mohamedia, Tunisia#false#120
123#1451#Tunis, Tunisia#true#121
124#1453#Gharbia, Egypt#true#122
125#4407#Ghar el-dimaa, Tunisia#false#123
126#1455#Ghardimaou, Tunisia#true#123
127#1457#Bistra, Algeria#true#124
128#1459#Baghdad, Iraq#true#125
129#1461#Tunis, Tunisia#true#126
130#1463#Tunis, Tunisia#true#127
131#1465#Al-Madinah, Saudi Arabia#true#128
132#1467#Haselunne, Lower Saxony, Germany#true#129
133#1471#Hadramawt, Yemen#true#130
134#1473#Khartoum Sudan#false#130
135#1476#Marrakesh, Morocco#true#131
136#1479#Essaouria, Morocco#true#132
137#1482#El Aguila, Valle, Colombia#true#133
138#1484#Trujillo, Valle, Colombia#true#134
139#1490#Cali, Valle, Colombia#true#135
140#1502#Trujillo, Valle, Colombia#true#136
141#1505#Riofrio, Valle, Colombia#true#137
142#1509#Basauri (Vizcaya Province), Spain#true#138
143#1511#Plencia (Vizcaya Province), Spain#true#139
144#1513#Santurce (Vizcaya Province), Spain#true#140
145#1515#Bilbao (Vizcaya Province), Spain#true#141
146#1517#Tripoli, Lebanon#true#142
147#1521#Cianjur, West Java, Indonesia#true#143
148#1524#Tirpas-Selong Village, East Lombok, Indonesia#false#144
149#8418#Korleko-Lombok Timur, Indonesia#true#144
150#1600#Konduz Province, Afghanistan#true#145
151#1682#Cali, Valle, Colombia#true#146
152#1683#Cali, Valle, Colombia#true#147
153#1726#Tetovo, Macedonia#true#148
154#1728#Kicevo, Macedonia#true#149
155#1730#Ahatovici, Bosnia-Herzegovina#true#150
156#1734#Vlasenica, Bosnia-Herzegovina#true#151
157#1738#Prijedor, Bosnia-Herzegovina#true#152
158#1740#Mallakaster Fier, Albania#true#153
159#1742#Tetovo, Macedonia#true#154
160#1744#Rogatica, Bosnia-Herzegovina#true#155
161#1746#Bratunac, Bosnia-Herzegovina#true#156
162#1748#Brestovsko, Bosnia-Herzegovina#true#157
163#1750#Han Pijesak, Bosnia-Herzegovina#true#158
164#1754#Popovac, Bosnia-Herzegovina#true#159
165#1759#Rijeka, Bosnia-Herzegovina#true#160
166#1761#Drvar, Bosnia-Herzegovina#true#161
167#1763#Posulje, Bosnia-Herzegovina#true#162
168#1765#Citluk, Bosnia-Herzegovina#true#163
169#1767#Ilince, Serbia and Montenegro#true#164
170#1773#Cirkin Polje, Bosnia-Herzegovina#true#165
171#1775#Suva Reka, Serbia and Montenegro#true#166
172#1777#Travnik, Bosnia-Herzegovina#true#167
173#1779#Prijedor, Bosnia-Herzegovina#true#168
174#1782#Goles, Bosnia-Herzegovina#true#169
175#1789#Vitina, Serbia and Montenegro#true#170
176#1791#Zvornik, Bosnia-Herzegovina#true#171
177#1793#Poroj, Macedonia#true#172
178#1797#Glodjane, Serbia and Montenegro#true#173
179#1799#Tanusevci, Macedonia#true#174
180#1801#Debar, Macedonia#true#175
181#1806#Mitrovica, Serbia and Montenegro#true#176
182#1808#Foca, Bosnia-Herzegovina#true#177
183#1810#Potprolog, Croatia#true#178
184#1812#Bijeljina, Bosnia-Herzegovina#true#179
185#1814#Grbavci, Bosnia-Herzegovina#true#180
186#1816#Mionica, Serbia and Montenegro#true#181
187#1820#Sarajevo, Bosnia-Herzegovina#true#182
188#1822#Savnik, Serbia and Montenegro#true#183
189#8503#Petnic, Serbia and Montenegro#false#183
190#1824#Petnica, Serbia and Montenegro#true#184
191#1826#Sarajevo, Bosnia-Herzegovina#true#185
192#1828#Orlovci, Bosnia-Herzegovina#true#186
193#1830#Sarajevo, Bosnia-Herzegovina#true#187
194#1832#Lamovita, Bosnia-Herzegovina#true#188
195#1837#Birotici, Bosnia-Herzegovina#true#189
196#1839#Nedjeljiste, Vlasenica, Bosnia-Herzegovina#true#190
197#1841#Pagarusha-Malishev, Serbia and Montenegro#true#191
198#1843#Kakanj, Bosnia-Herzegovina#true#192
199#1845#Foca, Bosnia-Herzegovina#true#193
200#1847#Maricka, Bosnia-Herzegovina#true#194
201#1849#Vlaholje, nr Kalinovik, Bosnia-Herzegovina#true#195
202#1852#Banja, Serbia and Montenegro#true#196
203#1857#Foca, Bosnia-Herzegovina#true#197
204#1859#Visegrad, Bosnia-Herzegovina#true#198
205#1861#Belgrade, Serbia and Montenegro#true#199
206#1863#Srbica, Serbia and Montenegro#true#200
207#1865#Kalinovik, Bosnia-Herzegovina#true#201
208#1872#Zagrovic, Croatia#true#202
209#1874#Mostar, Bosnia-Herzegovina#true#203
210#1876#Petrov Gaj, Bosnia-Herzegovina#true#204
211#1879#Murgas, Bosnia-Herzegovina#true#205
212#1883#Pozarevac, Serbia and Montenegro#true#206
213#1885#Belgrade, Serbia and Montenegro#true#207
214#1887#Bozinovici, Bosnia-Herzegovina#true#208
215#1889#Drenovc#true#209
216#1891#Zagreb, Croatia#true#210
217#1896#Racak, Serbia and Montenegro#true#211
218#1900#Konculj, Serbia and Montenegro#true#212
219#1902#Podujevo, Serbia and Montenegro#true#213
220#1904#Listica, Bosnia-Herzegovina#true#214
221#1906#Maciteve, Serbia and Montenegro#true#215
222#1912#Bratunac, Bosnia-Herzegovina#true#216
223#1914#Sovljak, Serbia and Montenegro#true#217
224#1916#Matino Brdo, Bosnia-Herzegovina#true#218
225#1922#Sokolac, Bosnia-Herzegovina#true#219
226#1924#Senjski Rudnik, Serbia and Montenegro#true#220
227#1927#Pjesevac Kula, Bosnia-Herzegovina#true#221
