PrimaryKey#program#FK_programList
1#SYRIA#64
2#SDGT#64
3#IRAN#79
4#SDGT#79
5#IFSR#79
6#IRGC#79
7#IRAN#80
8#IRAN-EO13902#80
9#IRAN#81
10#IRAN-EO13902#81
11#IRAN#82
12#IRAN-EO13902#82
13#IFSR#83
14#IRAN#83
15#SDGT#83
16#FTO#84
17#SDGT#84
18#FTO#86
19#SDGT#86
20#FTO#87
21#SDGT#87
22#FTO#88
23#SDGT#88
24#FTO#89
25#SDGT#89
26#FTO#90
27#SDGT#90
28#SYRIA#91
29#FTO#91
30#SDGT#91
31#FTO#92
32#SDGT#92
33#SDNTK#93
34#FTO#93
35#SDGT#93
36#FTO#94
37#SDGT#94
38#FTO#95
39#SDGT#95
40#FTO#96
41#SDGT#96
42#FTO#97
43#SDGT#97
44#FTO#98
45#SDGT#98
46#FTO#99
47#SDGT#99
48#FTO#100
49#SDGT#100
50#FTO#102
51#SDGT#102
52#SDNTK#102
53#FTO#121
54#SDGT#121
55#FTO#165
56#SDGT#165
57#FTO#174
58#SDGT#174
59#SDGT#187
60#SDNTK#187
61#FTO#188
62#SDGT#188
63#FTO#189
64#SDGT#189
65#FTO#217
66#SDGT#217
67#FTO#238
68#SDGT#238
69#FTO#239
70#SDGT#239
71#FTO#291
72#SDGT#291
73#SDNTK#313
74#ILLICIT-DRUGS-EO#313
75#FTO#316
76#SDGT#316
77#FTO#338
78#SDGT#338
79#FTO#375
80#SDGT#375
81#FTO#377
82#SDGT#377
83#SDNTK#825
84#ILLICIT-DRUGS-EO#825
85#SDGT#982
86#FTO#982
87#IRAQ2#1007
88#SYRIA#1007
89#SDGT#1063
90#FTO#1063
91#NPWMD#1073
92#DPRK2#1073
93#IFSR#1076
94#NPWMD#1076
95#IRAN-CON-ARMS-EO#1076
96#IFSR#1077
97#NPWMD#1077
98#IFSR#1078
99#NPWMD#1078
100#SDGT#1244
101#NS-PLC#1244
102#IFSR#1245
103#NPWMD#1245
104#IFSR#1246
105#NPWMD#1246
106#IFSR#1247
107#NPWMD#1247
108#SDGT#1251
109#SDNTK#1251
110#IFSR#1256
111#NPWMD#1256
112#NPWMD#1257
113#IFSR#1257
114#IFSR#1346
115#NPWMD#1346
116#IFSR#1364
117#NPWMD#1364
118#IRAN-CON-ARMS-EO#1364
119#IFSR#1454
120#SDGT#1454
121#IRAN#1454
122#IFSR#1456
123#NPWMD#1456
124#ILLICIT-DRUGS-EO#1469
125#SDNTK#1469
126#IFSR#1470
127#NPWMD#1470
128#IFSR#1471
129#NPWMD#1471
130#NPWMD#1472
131#IRAN-HR#1472
132#HRIT-IR#1472
133#IRGC#1472
134#IFSR#1472
135#SDGT#1472
136#FTO#1472
137#ELECTION-EO13848#1472
138#IFSR#1473
139#NPWMD#1473
140#SDGT#1473
141#IRAN-CON-ARMS-EO#1473
142#IFSR#1477
143#SDGT#1477
144#IFSR#1510
145#SDGT#1510
146#SYRIA#1510
147#IRGC#1510
148#FTO#1510
149#IRAN-HR#1510
150#ELECTION-EO13848#1510
151#IFSR#1520
152#NPWMD#1520
153#IRGC#1520
154#SDGT#1520
155#IFSR#1521
156#NPWMD#1521
157#IRGC#1521
158#SDGT#1521
159#IFSR#1522
160#NPWMD#1522
161#SDGT#1522
162#IRGC#1522
163#SYRIA#1522
164#IFSR#1523
165#IRGC#1523
166#NPWMD#1523
167#SDGT#1523
168#IFSR#1526
169#NPWMD#1526
170#IRGC#1526
171#SDGT#1526
172#IFSR#1527
173#NPWMD#1527
174#IRGC#1527
175#SDGT#1527
176#IFSR#1528
177#NPWMD#1528
178#IRGC#1528
179#SDGT#1528
180#IFSR#1529
181#NPWMD#1529
182#IRGC#1529
183#SDGT#1529
184#IFSR#1530
185#IRGC#1530
186#NPWMD#1530
187#SDGT#1530
188#IFSR#1531
189#IRGC#1531
190#NPWMD#1531
191#SDGT#1531
192#IFSR#1532
193#IRGC#1532
194#NPWMD#1532
195#SDGT#1532
196#IFSR#1533
197#IRGC#1533
198#NPWMD#1533
199#SDGT#1533
200#IFSR#1534
201#IRGC#1534
202#NPWMD#1534
203#SDGT#1534
204#LEBANON#1544
205#SYRIA#1544
206#IFSR#1548
207#NPWMD#1548
208#IFSR#1549
209#NPWMD#1549
210#IFSR#1550
211#NPWMD#1550
